1,1,249,53,3.1,Express,Yes,Yes
2,2,2868,64,3.1,Express,Yes,Yes
3,3,1431,73,3.1,Free Shipping,Yes,Yes
4,4,1789,90,3.5,Next Day Air,Yes,Yes
5,5,319,49,2.7,Free Shipping,Yes,Yes
6,6,2560,20,2.9,Standard,Yes,Yes
7,7,2025,85,3.2,Free Shipping,Yes,Yes
8,8,2236,34,3.2,Free Shipping,Yes,Yes
9,9,519,97,2.6,Express,Yes,Yes
10,10,933,31,4.8,2-Day Shipping,Yes,Yes
11,11,2140,34,4.1,Store Pickup,Yes,Yes
12,12,2329,68,4.9,Store Pickup,Yes,Yes
13,13,541,72,4.5,Express,Yes,Yes
14,14,708,51,4.7,Express,Yes,Yes
15,15,522,53,4.7,Free Shipping,Yes,Yes
16,16,2437,81,2.8,Store Pickup,Yes,Yes
17,17,2814,36,4.1,Next Day Air,Yes,Yes
18,18,741,38,4.7,2-Day Shipping,Yes,Yes
19,19,2941,48,4.6,Free Shipping,Yes,Yes
20,20,1652,90,3.3,Standard,Yes,Yes
21,21,1636,51,2.8,Express,Yes,Yes
22,22,1641,62,4.1,Store Pickup,Yes,Yes
23,23,1664,37,3.2,Store Pickup,Yes,Yes
24,24,1725,88,4.4,Express,Yes,Yes
25,25,1287,22,2.9,Store Pickup,Yes,Yes
26,26,1184,25,3.6,Express,Yes,Yes
27,27,1530,20,3.6,Next Day Air,Yes,Yes
28,28,2239,56,5,Next Day Air,Yes,Yes
29,29,914,94,4.4,Free Shipping,Yes,Yes
30,30,715,48,4.1,Store Pickup,Yes,Yes
31,31,1462,31,4.7,Standard,Yes,Yes
32,32,626,79,4.7,Store Pickup,Yes,Yes
33,33,1314,67,4.9,Free Shipping,Yes,Yes
34,34,1605,38,3.3,Store Pickup,Yes,Yes
35,35,3011,91,4.6,2-Day Shipping,Yes,Yes
36,36,287,33,4,2-Day Shipping,Yes,Yes
37,37,3037,69,4.6,Free Shipping,Yes,Yes
38,38,1426,45,2.8,Store Pickup,Yes,Yes
39,39,700,37,3.7,2-Day Shipping,Yes,Yes
40,40,1708,60,4.2,Express,Yes,Yes
41,41,870,76,4.6,Next Day Air,Yes,Yes
42,42,1914,39,4.5,Standard,Yes,Yes
43,43,529,100,4.1,Free Shipping,Yes,Yes
44,44,1867,69,3.7,Store Pickup,Yes,Yes
45,45,1081,53,4.6,Free Shipping,Yes,Yes
46,46,2714,21,2.9,2-Day Shipping,Yes,Yes
47,47,2006,43,2.9,Store Pickup,Yes,Yes
48,48,1498,54,4.5,Free Shipping,Yes,Yes
49,49,2046,55,2.7,Store Pickup,Yes,Yes
50,50,1200,30,4.6,Next Day Air,Yes,Yes
51,51,312,28,3.7,Store Pickup,Yes,Yes
52,52,2472,59,4.7,2-Day Shipping,Yes,Yes
53,53,3025,20,2.6,Free Shipping,Yes,Yes
54,54,2460,24,3.9,Next Day Air,Yes,Yes
55,55,536,94,4.2,Next Day Air,Yes,Yes
56,56,1294,28,3,2-Day Shipping,Yes,Yes
57,57,101,73,4.7,Store Pickup,Yes,Yes
58,58,573,64,4.4,Store Pickup,Yes,Yes
59,59,1151,54,4.2,Free Shipping,Yes,Yes
60,60,143,79,4.6,Standard,Yes,Yes
61,61,2853,37,4,Express,Yes,Yes
62,62,1916,68,4.7,Store Pickup,Yes,Yes
63,63,2572,21,3.8,Free Shipping,Yes,Yes
64,64,2738,79,2.7,2-Day Shipping,Yes,Yes
65,65,461,83,4.8,Standard,Yes,Yes
66,66,71,36,4.8,2-Day Shipping,Yes,Yes
67,67,338,94,4.7,2-Day Shipping,Yes,Yes
68,68,502,33,4.4,Store Pickup,Yes,Yes
69,69,890,46,3.9,Next Day Air,Yes,Yes
70,70,197,70,4.4,Express,Yes,Yes
71,71,165,29,4.2,Express,Yes,Yes
72,72,632,48,2.9,Express,Yes,Yes
73,73,688,26,2.9,Store Pickup,Yes,Yes
74,74,1676,85,2.7,Free Shipping,Yes,Yes
75,75,775,58,4.5,Express,Yes,Yes
76,76,1893,85,2.7,Free Shipping,Yes,Yes
77,77,1083,43,4.2,Free Shipping,Yes,Yes
78,78,632,53,3.3,Next Day Air,Yes,Yes
79,79,2417,91,4.7,Free Shipping,Yes,Yes
80,80,1302,96,2.6,2-Day Shipping,Yes,Yes
81,81,1841,72,3.3,Store Pickup,Yes,Yes
82,82,2131,96,2.6,Express,Yes,Yes
